Data;Quilograma
01/01/2014;159921008
01/02/2014;162756117
01/03/2014;159264166
01/04/2014;179258706
01/05/2014;168671839
01/06/2014;164828286
01/07/2014;174412897
01/08/2014;168832203
01/09/2014;173645659
01/10/2014;191834430
01/11/2014;177075312
01/12/2014;190282353
01/01/2015;169409030
01/02/2015;156963382
01/03/2015;179015846
01/04/2015;176663954
01/05/2015;164702285
01/06/2015;151036008
01/07/2015;158096176
01/08/2015;167759289
01/09/2015;182453972
01/10/2015;206053504
01/11/2015;192646214
01/12/2015;186267230
01/01/2016;155395476
01/02/2016;168035509
01/03/2016;174233291
01/04/2016;141165377
01/05/2016;137335801
01/06/2016;132022611
01/07/2016;112166001
01/08/2016;165555235
01/09/2016;173980678
01/10/2016;186724328
01/11/2016;187766550
01/12/2016;183762641
01/01/2017;152121864
01/02/2017;145166555
01/03/2017;158981272
01/04/2017;122438922
01/05/2017;144918966
01/06/2017;121840956
01/07/2017;103124818
01/08/2017;150854398
01/09/2017;137752749
01/10/2017;166977170
01/11/2017;169009116
01/12/2017;164179089
01/01/2018;162204655
01/02/2018;143033911
01/03/2018;145212329
01/04/2018;124777368
01/05/2018;90980639
01/06/2018;136141023
01/07/2018;81439485
01/08/2018;144313773
01/09/2018;188306376
01/10/2018;204439790
01/11/2018;241804352
01/12/2018;255183919
01/01/2019;188460869
01/02/2019;192868550
01/03/2019;201442665
01/04/2019;174028987
01/05/2019;205854743
01/06/2019;178527687
01/07/2019;184397679
01/08/2019;197758751
01/09/2019;196356462
01/10/2019;207848972
01/11/2019;205746157
01/12/2019;198586795
01/01/2020;171074032
01/02/2020;175716216
01/03/2020;191394212
01/04/2020;173230558
01/05/2020;225049415
01/06/2020;149582913
01/07/2020;178401165
01/08/2020;199649769
01/09/2020;229249769
01/10/2020;234751457
01/11/2020;284770392
01/12/2020;263723285
01/01/2021;230206519
01/02/2021;198941237
01/03/2021;250176267
01/04/2021;215958906
01/05/2021;197988043
01/06/2021;182835320
01/07/2021;149987801
01/08/2021;182069375
01/09/2021;178574185
01/10/2021;197330445
01/11/2021;183164443
01/12/2021;219895842
01/01/2022;187654585
01/02/2022;215956343
01/03/2022;212104282
01/04/2022;173941950
01/05/2022;149819669
01/06/2022;190288041
01/07/2022;156482235
01/08/2022;147772364
01/09/2022;176328188
01/10/2022;207303054
01/11/2022;223605171
01/12/2022;189816606
01/01/2023;178069866
01/02/2023;128932620
01/03/2023;171851373
01/04/2023;145621146
01/05/2023;148950338
01/06/2023;146558630
01/07/2023;148474168
01/08/2023;206925166
01/09/2023;185865032
01/10/2023;257093555
01/11/2023;241589610
01/12/2023;250262697
01/01/2024;231984884
01/02/2024;223655276
01/03/2024;216171797
01/04/2024;263102476
01/05/2024;253741008
01/06/2024;210508365
01/07/2024;210759788
01/08/2024;214633941
01/09/2024;253426490
01/10/2024;287914848
01/11/2024;294105761
01/12/2024;212086116
