Data; Último Coca 
01/01/2014; R$ 37,82 
01/02/2014; R$ 38,20 
01/03/2014; R$ 38,66 
01/04/2014; R$ 40,79 
01/05/2014; R$ 40,91 
01/06/2014; R$ 42,36 
01/07/2014; R$ 39,29 
01/08/2014; R$ 41,72 
01/09/2014; R$ 42,66 
01/10/2014; R$ 41,88 
01/11/2014; R$ 44,83 
01/12/2014; R$ 42,22 
01/01/2015; R$ 41,17 
01/02/2015; R$ 43,30 
01/03/2015; R$ 40,55 
01/04/2015; R$ 40,56 
01/05/2015; R$ 40,96 
01/06/2015; R$ 39,23 
01/07/2015; R$ 41,08 
01/08/2015; R$ 39,32 
01/09/2015; R$ 40,12 
01/10/2015; R$ 42,35 
01/11/2015; R$ 42,62 
01/12/2015; R$ 42,96 
01/01/2016; R$ 42,92 
01/02/2016; R$ 43,13 
01/03/2016; R$ 46,39 
01/04/2016; R$ 44,80 
01/05/2016; R$ 44,60 
01/06/2016; R$ 45,33 
01/07/2016; R$ 43,63 
01/08/2016; R$ 43,43 
01/09/2016; R$ 42,32 
01/10/2016; R$ 42,40 
01/11/2016; R$ 40,35 
01/12/2016; R$ 41,46 
01/01/2017; R$ 41,57 
01/02/2017; R$ 41,96 
01/03/2017; R$ 42,44 
01/04/2017; R$ 43,15 
01/05/2017; R$ 45,47 
01/06/2017; R$ 44,85 
01/07/2017; R$ 45,84 
01/08/2017; R$ 45,55 
01/09/2017; R$ 45,01 
01/10/2017; R$ 45,98 
01/11/2017; R$ 45,77 
01/12/2017; R$ 45,88 
01/01/2018; R$ 47,59 
01/02/2018; R$ 43,22 
01/03/2018; R$ 43,43 
01/04/2018; R$ 43,21 
01/05/2018; R$ 43,00 
01/06/2018; R$ 43,86 
01/07/2018; R$ 46,63 
01/08/2018; R$ 44,57 
01/09/2018; R$ 46,19 
01/10/2018; R$ 47,88 
01/11/2018; R$ 50,40 
01/12/2018; R$ 47,35 
01/01/2019; R$ 48,13 
01/02/2019; R$ 45,34 
01/03/2019; R$ 46,86 
01/04/2019; R$ 49,06 
01/05/2019; R$ 49,13 
01/06/2019; R$ 50,92 
01/07/2019; R$ 52,63 
01/08/2019; R$ 55,04 
01/09/2019; R$ 54,44 
01/10/2019; R$ 54,43 
01/11/2019; R$ 53,40 
01/12/2019; R$ 55,35 
01/01/2020; R$ 58,40 
01/02/2020; R$ 53,49 
01/03/2020; R$ 44,25 
01/04/2020; R$ 45,89 
01/05/2020; R$ 46,68 
01/06/2020; R$ 44,68 
01/07/2020; R$ 47,24 
01/08/2020; R$ 49,53 
01/09/2020; R$ 49,37 
01/10/2020; R$ 48,06 
01/11/2020; R$ 51,60 
01/12/2020; R$ 54,84 
01/01/2021; R$ 48,15 
01/02/2021; R$ 48,99 
01/03/2021; R$ 52,71 
01/04/2021; R$ 53,98 
01/05/2021; R$ 55,29 
01/06/2021; R$ 54,11 
01/07/2021; R$ 57,03 
01/08/2021; R$ 56,31 
01/09/2021; R$ 52,47 
01/10/2021; R$ 56,37 
01/11/2021; R$ 52,45 
01/12/2021; R$ 59,21 
01/01/2022; R$ 61,01 
01/02/2022; R$ 62,24 
01/03/2022; R$ 62,00 
01/04/2022; R$ 64,61 
01/05/2022; R$ 63,38 
01/06/2022; R$ 62,91 
01/07/2022; R$ 64,17 
01/08/2022; R$ 61,71 
01/09/2022; R$ 56,02 
01/10/2022; R$ 59,85 
01/11/2022; R$ 63,61 
01/12/2022; R$ 63,61 
01/01/2023; R$ 61,32 
01/02/2023; R$ 59,51 
01/03/2023; R$ 62,03 
01/04/2023; R$ 64,15 
01/05/2023; R$ 59,66 
01/06/2023; R$ 60,22 
01/07/2023; R$ 61,93 
01/08/2023; R$ 59,83 
01/09/2023; R$ 55,98 
01/10/2023; R$ 56,49 
01/11/2023; R$ 58,44 
01/12/2023; R$ 58,93 
01/01/2024; R$ 59,49 
01/02/2024; R$ 60,02 
01/03/2024; R$ 61,18 
01/04/2024; R$ 61,77 
01/05/2024; R$ 62,93 
01/06/2024; R$ 63,65 
01/07/2024; R$ 66,74 
01/08/2024; R$ 72,47 
01/09/2024; R$ 71,86 
01/10/2024; R$ 65,31 
01/11/2024; R$ 64,08 
01/12/2024; R$ 62,26 
