Data; Último Nestle 
01/12/2024; R$ 74,88 
01/11/2024; R$ 76,48 
01/10/2024; R$ 81,58 
01/09/2024; R$ 84,96 
01/08/2024; R$ 91,02 
01/07/2024; R$ 89,14 
01/06/2024; R$ 91,72 
01/05/2024; R$ 95,56 
01/04/2024; R$ 92,20 
01/03/2024; R$ 95,75 
01/02/2024; R$ 91,76 
01/01/2024; R$ 98,56 
01/12/2023; R$ 97,51 
01/11/2023; R$ 99,35 
01/10/2023; R$ 98,06 
01/09/2023; R$ 103,74 
01/08/2023; R$ 106,40 
01/07/2023; R$ 106,88 
01/06/2023; R$ 107,60 
01/05/2023; R$ 107,90 
01/04/2023; R$ 114,52 
01/03/2023; R$ 111,46 
01/02/2023; R$ 106,08 
01/01/2023; R$ 111,48 
01/12/2022; R$ 107,14 
01/11/2022; R$ 112,34 
01/10/2022; R$ 109,04 
01/09/2022; R$ 107,08 
01/08/2022; R$ 114,58 
01/07/2022; R$ 116,44 
01/06/2022; R$ 111,44 
01/05/2022; R$ 117,00 
01/04/2022; R$ 126,00 
01/03/2022; R$ 120,20 
01/02/2022; R$ 119,78 
01/01/2022; R$ 119,08 
01/12/2021; R$ 127,44 
01/11/2021; R$ 118,00 
01/10/2021; R$ 120,82 
01/09/2021; R$ 112,70 
01/08/2021; R$ 115,74 
01/07/2021; R$ 114,80 
01/06/2021; R$ 115,22 
01/05/2021; R$ 110,70 
01/04/2021; R$ 108,88 
01/03/2021; R$ 105,34 
01/02/2021; R$ 95,00 
01/01/2021; R$ 100,04 
01/12/2020; R$ 104,26 
01/11/2020; R$ 101,18 
01/10/2020; R$ 103,10 
01/09/2020; R$ 109,34 
01/08/2020; R$ 108,56 
01/07/2020; R$ 108,10 
01/06/2020; R$ 104,74 
01/05/2020; R$ 103,86 
01/04/2020; R$ 101,90 
01/03/2020; R$ 99,45 
01/02/2020; R$ 98,85 
01/01/2020; R$ 106,38 
01/12/2019; R$ 104,78 
01/11/2019; R$ 103,92 
01/10/2019; R$ 105,32 
01/09/2019; R$ 108,28 
01/08/2019; R$ 111,00 
01/07/2019; R$ 105,70 
01/06/2019; R$ 101,06 
01/05/2019; R$ 99,55 
01/04/2019; R$ 98,05 
01/03/2019; R$ 94,90 
01/02/2019; R$ 90,36 
01/01/2019; R$ 86,44 
01/12/2018; R$ 79,80 
01/11/2018; R$ 85,14 
01/10/2018; R$ 85,12 
01/09/2018; R$ 81,82 
01/08/2018; R$ 81,38 
01/07/2018; R$ 80,70 
01/06/2018; R$ 76,90 
01/05/2018; R$ 74,38 
01/04/2018; R$ 76,98 
01/03/2018; R$ 75,62 
01/02/2018; R$ 75,28 
01/01/2018; R$ 80,42 
01/12/2017; R$ 83,80 
01/11/2017; R$ 84,25 
01/10/2017; R$ 83,90 
01/09/2017; R$ 81,10 
01/08/2017; R$ 81,35 
01/07/2017; R$ 81,70 
01/06/2017; R$ 83,45 
01/05/2017; R$ 82,65 
01/04/2017; R$ 76,65 
01/03/2017; R$ 76,85 
01/02/2017; R$ 74,25 
01/01/2017; R$ 72,30 
01/12/2016; R$ 73,05 
01/11/2016; R$ 68,40 
01/10/2016; R$ 71,75 
01/09/2016; R$ 76,55 
01/08/2016; R$ 78,30 
01/07/2016; R$ 77,70 
01/06/2016; R$ 75,15 
01/05/2016; R$ 73,40 
01/04/2016; R$ 71,50 
01/03/2016; R$ 71,85 
01/02/2016; R$ 70,10 
01/01/2016; R$ 75,20 
01/12/2015; R$ 74,55 
01/11/2015; R$ 76,35 
01/10/2015; R$ 75,60 
01/09/2015; R$ 73,25 
01/08/2015; R$ 71,30 
01/07/2015; R$ 73,20 
01/06/2015; R$ 67,50 
01/05/2015; R$ 72,90 
01/04/2015; R$ 72,90 
01/03/2015; R$ 73,40 
01/02/2015; R$ 74,40 
01/01/2015; R$ 70,45 
01/12/2014; R$ 72,95 
01/11/2014; R$ 72,55 
01/10/2014; R$ 70,40 
01/09/2014; R$ 70,25 
01/08/2014; R$ 71,25 
01/07/2014; R$ 67,55 
01/06/2014; R$ 68,70 
01/05/2014; R$ 70,25 
01/04/2014; R$ 67,95 
01/03/2014; R$ 66,55 
01/02/2014; R$ 66,60 
01/01/2014; R$ 65,80 
